Price,Volume,Side
86824.063880,0.000000,offer
86722.547320,0.228052,bid
86711.818820,0.115094,bid
86708.585300,0.000000,bid
75882.231400,0.006541,bid
86824.033940,0.639956,offer
86824.043920,0.000000,offer
86824.183640,0.000000,offer
84249.243840,0.000000,bid
84185.910760,0.000000,bid
83677.928760,0.000000,bid
86824.023960,0.639956,offer
86824.033940,0.000000,offer
86825.800400,0.397691,offer
86825.810380,0.000000,offer
86722.547320,0.123687,bid
86666.988660,0.000000,bid
86666.978680,0.000000,bid
86666.170300,0.000000,bid
86664.713220,0.000000,bid
86663.345960,0.817827,bid
86663.016620,0.375148,bid
86661.160340,0.555218,bid
86760.591080,0.356352,offer
86762.058140,0.033924,offer
86762.307640,0.000000,offer
86777.397400,0.280589,offer
86779.084020,0.000000,offer
86779.094000,0.000000,offer
86822.267480,0.639969,offer
86824.023960,0.000000,offer
86824.093820,0.397698,offer
86825.800400,0.000000,offer
86722.547320,0.129973,bid
86665.032580,0.817811,bid
86664.763120,0.375141,bid
86663.345960,0.000000,bid
86663.016620,0.000000,bid
86662.856940,0.555207,bid
86661.160340,0.000000,bid
86622.398020,0.000000,bid
86602.956980,0.000000,bid
86591.819300,0.237518,bid
86536.779600,1.898891,bid
86723.425560,0.000000,offer
86728.295800,0.000000,offer
86731.060260,0.007089,offer
86738.884580,0.114814,offer
86740.790760,0.033328,offer
86690.341860,0.197628,bid
86665.361920,1.554114,bid
86760.581100,0.275728,offer
86783.285600,0.168669,offer
86664.783080,0.375141,bid
86664.763120,0.000000,bid
86663.236180,0.000000,bid
86660.741180,0.143856,bid
75882.231400,0.000000,bid
86728.295800,0.003375,offer
86731.060260,0.000000,offer
87863.910020,0.543146,offer
86664.793060,0.363410,bid
86664.783080,0.000000,bid
83861.870140,0.000000,bid
83726.301820,0.000000,bid
83080.785440,0.000000,bid
82726.455520,0.000000,bid
86713.206040,0.000000,bid
86713.196060,0.000000,bid
86711.918620,0.028773,bid
86711.818820,0.000000,bid
86705.770940,0.115102,bid
86665.461720,0.817807,bid
86665.361920,0.000000,bid
86665.032580,0.000000,bid
86663.286080,0.555205,bid
86662.856940,0.000000,bid
86722.557300,0.143115,offer
86723.425560,0.103571,offer
86723.864680,0.062000,offer
86728.295800,0.000000,offer
86731.060260,0.007223,offer
86760.581100,0.000000,offer
86760.591080,0.000000,offer
86762.706840,0.379143,offer
86664.832980,0.363410,bid
86664.793060,0.000000,bid
86166.781080,0.002877,bid
86165.902840,0.000000,bid
86762.267720,0.379145,offer
86762.706840,0.000000,offer
84208.964560,0.011851,bid
83705.553400,0.014307,bid
86686.769020,0.000000,bid
86686.759040,0.000000,bid
86664.842960,0.363410,bid
86664.832980,0.000000,bid
86656.429820,0.000000,bid
86656.419840,0.000000,bid
86722.557300,0.131523,offer
86745.990340,0.000000,offer
86747.497320,0.000000,offer
86762.257740,0.379145,offer
86762.267720,0.000000,offer
86773.954300,0.723739,offer
86777.866460,0.000000,offer
86688.026500,0.885861,bid
86664.872900,0.363410,bid
86664.842960,0.000000,bid
86657.687300,1.588093,bid
86745.940440,0.913756,offer
86776.299600,1.687405,offer
87579.240500,0.000000,offer
86722.547320,0.129947,bid
